Epoch 2, acc: 52.210000, loss: 1.562447
Epoch 3, acc: 55.200000, loss: 1.445104
Epoch 4, acc: 56.730000, loss: 1.395035
Epoch 5, acc: 57.830000, loss: 1.373481
Epoch 6, acc: 58.840000, loss: 1.351753
Epoch 7, acc: 59.640000, loss: 1.340032
Epoch 8, acc: 60.480000, loss: 1.315188
Epoch 9, acc: 60.760000, loss: 1.329016
Epoch 10, acc: 61.360000, loss: 1.330875
Epoch 11, acc: 61.560000, loss: 1.342246
Epoch 12, acc: 61.870000, loss: 1.342956
Epoch 13, acc: 62.060000, loss: 1.330705
Epoch 14, acc: 61.790000, loss: 1.345558
Epoch 15, acc: 62.730000, loss: 1.342883
Epoch 16, acc: 62.260000, loss: 1.374544
Epoch 17, acc: 62.920000, loss: 1.378636
Epoch 18, acc: 63.160000, loss: 1.391173
Epoch 19, acc: 62.910000, loss: 1.386063
